A044340,위닉스,가정용품,Y,N,N,N
A025860,남해화학,화학,Y,N,N,N
A082920,비츠로셀,유틸리티,Y,N,N,N
A019680,대교,일반서비스,Y,N,N,N
A048410,현대바이오,제약 및 바이오,Y,N,N,N
A010050,우리종금,금융,Y,N,Y,N
A081000,일진다이아,철강 및 비철강,Y,N,N,N
A061970,엘비세미콘,반도체 관련장비 및 부품,Y,N,N,N
A000140,하이트진로홀딩스,지주사,Y,Y,N,N
A005070,코스모신소재,IT 장비 및 소재,Y,N,N,N
A015350,부산가스,유틸리티,Y,N,N,N
A053210,스카이라이프,미디어 및 엔터,Y,N,N,N
A099190,아이센스,의료기기 및 용품,Y,N,N,N
A017960,한국카본,조선,Y,N,N,N
A222800,심텍,IT 장비 및 소재,Y,N,N,N
A268280,미원에스씨,IT 장비 및 소재,Y,N,N,N
A272290,이녹스첨단소재,IT 장비 및 소재,Y,N,N,N
A298050,효성첨단소재,화학,Y,N,N,N
A014830,유니드,화학,Y,N,N,N
A074600,원익QnC,반도체 관련장비 및 부품,Y,N,N,N
A006730,서부T&D,운송 및 물류,Y,N,N,N
A025770,한국정보통신,IT서비스,Y,N,N,N
A265520,AP시스템,디스플레이 장비 및 부품,Y,N,N,N
A122990,와이솔,IT 장비 및 소재,Y,N,N,N
A290510,코리아센터,유통,Y,N,N,N
A200710,에이디테크놀로지,반도체 관련장비 및 부품,Y,N,N,N
A005500,삼진제약,제약 및 바이오,Y,N,N,N
A237880,클리오,가정용품,Y,N,N,N
A096760,JW홀딩스,지주사,Y,Y,N,N
A272450,진에어,운송 및 물류,Y,N,N,N
A088800,에이스테크,통신,Y,N,N,N
A084110,휴온스글로벌,제약 및 바이오,Y,N,N,N
A002390,한독,제약 및 바이오,Y,N,N,N
A053580,웹케시,IT서비스,Y,N,N,N
A002240,고려제강,철강 및 비철강,Y,N,N,N
A214870,뉴지랩,전기 및 전자기기,Y,N,N,N
A030530,원익홀딩스,지주사,Y,Y,N,N
A068400,SK렌터카,레저산업,Y,N,N,N
A293480,하나제약,제약 및 바이오,Y,N,N,N
A066700,테라젠이텍스,제약 및 바이오,Y,N,N,N
A060980,한라홀딩스,지주사,Y,Y,N,N
A298000,효성화학,화학,Y,N,N,N
A122900,아이마켓코리아,유통,Y,N,N,N
A319660,피에스케이,반도체 관련장비 및 부품,Y,N,N,N
A123890,한국자산신탁,일반서비스,Y,N,N,N
A001200,유진투자증권,금융,Y,N,Y,N
A008730,율촌화학,종이 및 용기,Y,N,N,N
A166090,하나머티리얼즈,반도체 관련장비 및 부품,Y,N,N,N
A097780,에스맥,IT 장비 및 소재,Y,N,N,N
A253840,수젠텍,의료기기 및 용품,Y,N,N,N
A004430,송원산업,화학,Y,N,N,N
